customer_id,first_name,last_name,email,city,country,signup_timestamp,device_preference
CUST_1001,Pat,Brown,pat.brown1001@example.com,Kuala Lumpur,Indonesia,2023-12-15 00:00:00,Mobile Chrome
CUST_1002,Sam,Miller,sam.miller1002@example.com,Bandung,Indonesia,2023-05-02 00:00:00,Web Desktop
CUST_1003,Riley,Jones,riley.jones1003@example.com,Bangkok,Indonesia,2023-04-10 00:00:00,Mobile Chrome
CUST_1004,Jordan,Davis,jordan.davis1004@example.com,Singapore,Indonesia,2024-05-06 00:00:00,Mobile Safari
CUST_1005,Sam,Smith,sam.smith1005@example.com,Surabaya,Indonesia,2024-04-04 00:00:00,Mobile Safari
CUST_1006,Casey,Smith,casey.smith1006@example.com,Bandung,Indonesia,2024-04-19 00:00:00,Mobile Safari
CUST_1007,Jamie,Williams,jamie.williams1007@example.com,Kuala Lumpur,Southeast Asia,2023-12-30 00:00:00,iOS App
CUST_1008,Taylor,Jones,taylor.jones1008@example.com,Kuala Lumpur,Indonesia,2023-11-03 00:00:00,Android App
CUST_1009,Morgan,Rodriguez,morgan.rodriguez1009@example.com,Singapore,Indonesia,2023-11-12 00:00:00,iOS App
CUST_1010,Avery,Jones,avery.jones1010@example.com,Medan,Indonesia,2024-01-21 00:00:00,Mobile Safari
CUST_1011,Pat,Davis,pat.davis1011@example.com,Bandung,Southeast Asia,2024-03-06 00:00:00,Mobile Safari
CUST_1012,Jordan,Davis,jordan.davis1012@example.com,Surabaya,Indonesia,2024-01-23 00:00:00,Android App
CUST_1013,Morgan,Garcia,morgan.garcia1013@example.com,Kuala Lumpur,Indonesia,2024-04-21 00:00:00,Mobile Safari
CUST_1014,Jordan,Martinez,jordan.martinez1014@example.com,Medan,Indonesia,2024-03-21 00:00:00,Mobile Safari
CUST_1015,Casey,Davis,casey.davis1015@example.com,Bangkok,Indonesia,2023-08-01 00:00:00,Mobile Chrome
CUST_1016,Riley,Martinez,riley.martinez1016@example.com,Medan,Indonesia,2023-08-05 00:00:00,Mobile Chrome
CUST_1017,Casey,Smith,casey.smith1017@example.com,Kuala Lumpur,Indonesia,2023-12-11 00:00:00,iOS App
CUST_1018,Jamie,Davis,jamie.davis1018@example.com,Kuala Lumpur,Indonesia,2024-04-16 00:00:00,iOS App
CUST_1019,Riley,Williams,riley.williams1019@example.com,Jakarta,Indonesia,2024-02-23 00:00:00,Android App
CUST_1020,Pat,Martinez,pat.martinez1020@example.com,Medan,Southeast Asia,2023-02-10 00:00:00,Mobile Safari
CUST_1021,Jordan,Smith,jordan.smith1021@example.com,Kuala Lumpur,Indonesia,2023-02-17 00:00:00,Mobile Chrome
CUST_1022,Taylor,Davis,taylor.davis1022@example.com,Bandung,Indonesia,2023-08-02 00:00:00,Web Desktop
CUST_1023,Sam,Williams,sam.williams1023@example.com,Semarang,Indonesia,2023-09-14 00:00:00,Web Desktop
CUST_1024,Casey,Martinez,casey.martinez1024@example.com,Medan,Indonesia,2023-02-11 00:00:00,iOS App
CUST_1025,Morgan,Brown,morgan.brown1025@example.com,Semarang,Indonesia,2023-08-10 00:00:00,Mobile Chrome
CUST_1026,Dakota,Brown,dakota.brown1026@example.com,Bangkok,Indonesia,2023-01-13 00:00:00,Web Desktop
CUST_1027,Chris,Johnson,chris.johnson1027@example.com,Semarang,Indonesia,2023-06-19 00:00:00,Mobile Chrome
CUST_1028,Chris,Brown,chris.brown1028@example.com,Singapore,Indonesia,2023-10-13 00:00:00,Android App
CUST_1029,Pat,Rodriguez,pat.rodriguez1029@example.com,Singapore,Indonesia,2023-08-19 00:00:00,iOS App
CUST_1030,Dakota,Rodriguez,dakota.rodriguez1030@example.com,Semarang,Southeast Asia,2023-04-26 00:00:00,Web Desktop
CUST_1031,Casey,Jones,casey.jones1031@example.com,Bandung,Indonesia,2023-08-13 00:00:00,Web Desktop
CUST_1032,Chris,Davis,chris.davis1032@example.com,Medan,Indonesia,2023-08-21 00:00:00,iOS App
CUST_1033,Avery,Brown,avery.brown1033@example.com,Singapore,Indonesia,2023-09-25 00:00:00,Web Desktop
CUST_1034,Alex,Jones,alex.jones1034@example.com,Bangkok,Indonesia,2023-04-23 00:00:00,iOS App
CUST_1035,Jordan,Johnson,jordan.johnson1035@example.com,Singapore,Indonesia,2023-08-08 00:00:00,iOS App
CUST_1036,Alex,Williams,alex.williams1036@example.com,Surabaya,Indonesia,2023-05-06 00:00:00,Android App
CUST_1037,Chris,Miller,chris.miller1037@example.com,Kuala Lumpur,Indonesia,2023-11-20 00:00:00,Web Desktop
CUST_1038,Alex,Garcia,alex.garcia1038@example.com,Semarang,Indonesia,2023-10-07 00:00:00,Web Desktop
CUST_1039,Alex,Rodriguez,alex.rodriguez1039@example.com,Bandung,Indonesia,2023-05-04 00:00:00,Mobile Chrome
CUST_1040,Taylor,Brown,taylor.brown1040@example.com,Bandung,Indonesia,2023-09-09 00:00:00,Android App
CUST_1041,Taylor,Williams,taylor.williams1041@example.com,Bangkok,Indonesia,2023-05-28 00:00:00,iOS App
CUST_1042,Alex,Davis,alex.davis1042@example.com,Kuala Lumpur,Southeast Asia,2023-05-08 00:00:00,iOS App
CUST_1043,Dakota,Rodriguez,dakota.rodriguez1043@example.com,Surabaya,Southeast Asia,2024-04-17 00:00:00,Android App
CUST_1044,Taylor,Miller,taylor.miller1044@example.com,Bangkok,Indonesia,2023-09-09 00:00:00,iOS App
CUST_1045,Morgan,Smith,morgan.smith1045@example.com,Jakarta,Indonesia,2023-01-02 00:00:00,Mobile Safari
CUST_1046,Sam,Jones,sam.jones1046@example.com,Bandung,Indonesia,2023-06-09 00:00:00,iOS App
CUST_1047,Taylor,Williams,taylor.williams1047@example.com,Bangkok,Southeast Asia,2023-10-31 00:00:00,iOS App
CUST_1048,Riley,Brown,riley.brown1048@example.com,Jakarta,Indonesia,2023-03-16 00:00:00,Mobile Safari
CUST_1049,Taylor,Rodriguez,taylor.rodriguez1049@example.com,Jakarta,Indonesia,2023-04-09 00:00:00,Android App
CUST_1050,Jordan,Garcia,jordan.garcia1050@example.com,Bangkok,Southeast Asia,2023-06-12 00:00:00,Mobile Safari
CUST_1051,Alex,Brown,alex.brown1051@example.com,Singapore,Indonesia,2023-10-16 00:00:00,Mobile Safari
CUST_1052,Riley,Davis,riley.davis1052@example.com,Bandung,Indonesia,2023-05-15 00:00:00,iOS App
